project_id_original,project_id,researcher,title,institution,award_amount
CB-2002,39690,Jose Federico Bernardo Castro Muñoz Ledo,Genes que controlan la activacion del programa de diferenciacion adiposa y el desarrollo del tejido adiposo del mamifero,Centro de Investigación y de Estudios Avanzados del IPN,1869572
CB-2002,39691,Jesus Valdes Flores,Factores celulares epitelilaes que controlan el procesamiento alternativo de la proteina de uniones estrechas zo-1.,Centro de Investigación y de Estudios Avanzados del IPN,1527508
CB-2002,39692,Gabriela González-Mariscal Muriel,Neuroendocrinología de la Conducta Maternal en la Coneja,Centro de Investigación y de Estudios Avanzados del IPN,432250
CB-2002,39700,Horacio Soto Ortiz,Dispositivos Optoelectrónicos para los Sistemas Fotónicos de Comunicaciones WDM,"Centro de Investigación Científica y de Educación Superior de Ensenada, B.C.",2660003
CB-2002,39704,Christopher John Hall Sim,Interacciones de forma y marco sintáctico en el desarrollo del léxico mental multilingüe.,Universidad de las Américas-Puebla,133036
CB-2002,39705,Pablo Castro Domingo,En lo que piensan los votantes,"El Colegio Mexiquense, A.C.",545140
CB-2002,39708,Antonio Cerdeira Altuzarra,"Obtención, caracterización y modelación de estructuras MOS con dieléctricos de alta y baja k.",Centro de Investigación y de Estudios Avanzados del IPN,1308426
CB-2002,39709,Antonio Guillén Servent,Evolución de la Ecolocación en Quirópteros,Universidad Autónoma del Estado de Morelos,552045
CB-2002,39711,Francisco Xavier González Cózatl,"Filogenia molecular, límites de especie y patrones biogeográficos de roedores múridos endémicos del bosque mesófilo de México",Universidad Autónoma del Estado de Morelos,336044
CB-2002,39714,Divakara Mayya Yalia,Evolución foto-química de galaxias en interacción,"Instituto Nacional de Astrofísica, Optica y Electrónica",292987
CB-2002,39722,Abundio Dávila Álvarez,Evolución de la Integridad Estructural en el  Tiempo Mediante el Uso de la Interferometria de Moteado Speckle,"Centro de Investigaciones en Optica, A.C.",125400
CB-2002,39726,Claudia González Espinosa,Estudio de las vías de transducción de señales activadas por el receptor FceRI y los mecanismos que regulan la síntesis de citocinas en células cebadas.,Centro de Investigación y de Estudios Avanzados del IPN,1631202
CB-2002,39727,Vicente Parra Vega,Teleoperación Bilateral Haptica Vía Internet,Centro de Investigación y de Estudios Avanzados del IPN,214225
CB-2002,39731,Enrique Castaño de la Serna,Regulación transcripcional de embriogénesis somática: una nueva estrategia para mejorar un cultivo de interés comercial,"Centro de Investigación Científica de Yucatán, A.C.",1133059
CB-2002,39732,Gabriel Trejo Córdova,Desarrollo de aleaciónes anti-corrosivas cinc-manganeso ,"Centro de Investigación y Desarrollo Tecnológico en Electroquímica, S.C.",335113
CB-2002,39746,María Gabriela Uruñuela Ladrón de Guevara,Proyecto Tetimpa,Universidad de las Américas-Puebla,645050
CB-2002,39756,Raquel Cossío Bayúgar,Cultivo de células de la Garrapata Boophilus microplus como modelo para el estudio de la resistencia a acaricidas,Fundación Mexicana para la Investigación Agropecuaria y Forestal A.C.,768161
CB-2002,39777,Zarina Estrada Fernández,Mecanismos de voz y formación de palabra,Universidad de Sonora,2121420
