project_id,project_id_original,title,title_en,project_url,keyword,keyword_en,source,researcher,researcher_en,institutation,country,currency,award_amount,award_amount_usd,funded_date,start_date,end_date,project_term,start_year,end_year,description,description_raw,description_en,created_date,updated_date
,,"Development of innovative Indigenous knowledge system (IKS)- based new cosmetic raw material: Isolation, extraction and chemical profiling of melanin biosynthesis pathways- based natural compounds from Indian and South- African medicinal plants.","Development of innovative Indigenous knowledge system (IKS)- based new cosmetic raw material: Isolation, extraction and chemical profiling of melanin biosynthesis pathways- based natural compounds from Indian and South- African medicinal plants.",,,,,"Dr. Sandeep Chaudhary 
Prof.Lester M. Davids",,"Malaviya National Institute of Technology, Jaipur
University of Cape Town",,,,,,,,,,,,,,,
,,Impact of Govt.Incentivization on R&D output of DSIR Recognized In-House R&D Units in Pharma and Agri Sectors,Impact of Govt.Incentivization on R&D output of DSIR Recognized In-House R&D Units in Pharma and Agri Sectors,,,,,Dr. Radhika Trikha,,,,,,,,,,,,,,,,,
,,Strengthening India’s Industrial Research & Development,Strengthening India’s Industrial Research & Development,,,,,Dr. B. ChagunBasha,,,,,,,,,,,,,,,,,
,,"Innovation Ecosystem of Global Leaders in Biotechnology, Healthcare and Food technology; Lessons for India","Innovation Ecosystem of Global Leaders in Biotechnology, Healthcare and Food technology; Lessons for India",,,,,Dr. MaliniNagulapalli,,,,,,,,,,,,,,,,,
,,Survey and Popularization of the use of Intellectual Property Rights in the agricultural (Academic and Entrepreneurial) Sector of Gujrat,Survey and Popularization of the use of Intellectual Property Rights in the agricultural (Academic and Entrepreneurial) Sector of Gujrat,,,,,Dr. ShethBhavishaPrakash bhai,,,,,,,,,,,,,,,,,
,,Knowledge spillovers through FDI and trade: the moderating role of quality adjusted human capital,Knowledge spillovers through FDI and trade: the moderating role of quality adjusted human capital,,,,,Dr. Ipsita Roy,,,,,,,,,,,,,,,,,
,,Efficiency of Secure Computation,Efficiency of Secure Computation,,,,,"Manoj Prabhakaran
Yuval Ishai Professor",,"Indian Institute of Technology Bombay
Departmetn of Computer Science, Technion",,,,,,,,,,,,,,,
,,Indo-Israel Collaborative for Infrastructure Security with Second Generation Anomaly Detection Techniques,Indo-Israel Collaborative for Infrastructure Security with Second Generation Anomaly Detection Techniques,,,,,"Dr Sandeep Kumar Shukla
Amir Averbuch",,"Indian Institute of Technology Kanpur
Tel Aviv University & Blavatnik Interdisciplinary Center for Cyber Security Research",,,,,,,,,,,,,,,
,,Molecular characterization of Giardia and Cryptosporidium for tracking the zoonotic potential for contamination of food crops in India and in Israel,Molecular characterization of Giardia and Cryptosporidium for tracking the zoonotic potential for contamination of food crops in India and in Israel,,,,,"Dr Rakesh Sehgal
Prof. Abidelfatah Nasser",,"PGIMER, Chandigarh
Water Quality Research Laboratory National Public Health Laboratory, Ministry of Health, Tel Aviv, Israel",,,,,,,,,,,,,,,
,,Improving Automated Cryptanalysis,Improving Automated Cryptanalysis,,,,,"Dr. Somitra Kumar Sanadhya
Dr. Orr Dunkelman",,"Dept of Computer Science and Engineering, IIIT Delhi
Dept. of Computer Science, University of Haifa, Israel",,,,,,,,,,,,,,,
,,Constructions of Pseudo random functions and Their applications to Cryptography,Constructions of Pseudo random functions and Their applications to Cryptography,,,,,"Dr Mridul Nandi
Shay Gueron",,"Indian Statistical Institute Kolkata
University of Haifa",,,,,,,,,,,,,,,
,,Longitudinal Big-Data Mining for Prediction and Precision in Critical Care Medicine,Longitudinal Big-Data Mining for Prediction and Precision in Critical Care Medicine,,,,,"Dr Rakesh Lodha
Robert Moskovitch",,"All India Institute of Medical Sciences
Ben Gurion University of the Negev",,,,,,,,,,,,,,,
,,Dissecting Autism Trajectories in Longitudinal Electronic Health Records,Dissecting Autism Trajectories in Longitudinal Electronic Health Records,,,,,"Dr. R.N.V.Jagan Mohan
Alal Eran",,"Swarnandhra College of Engineering and Technology
Ben-Gurion University of the Negev",,,,,,,,,,,,,,,
,,Exploring Bone Marrow MSCs derived Exosomes as a Potential Treatment for Diabetes Mellitus type 1,Exploring Bone Marrow MSCs derived Exosomes as a Potential Treatment for Diabetes Mellitus type 1,,,,,"Dr. Swasti Tiwari
Dr Batia Avni Senior",,"Sanjay Gandhi Post Graduate Institute of Medical Sciences Lucknow
Physician
Department of Hematology and Bone Marrow Transplantation, Haddasah Medical Center",,,,,,,,,,,,,,,
,,Suitable Fuzzy Set Based Clustering Techniques in Analysing Gene Expression Microarray High Dimensional Medical Databases,Suitable Fuzzy Set Based Clustering Techniques in Analysing Gene Expression Microarray High Dimensional Medical Databases,,,,,"Dr S R Kannan
Prof. Mark Last",,"Pondicherry Central University
Ben Gurion University of the Negev",,,,,,,,,,,,,,,
