project_id,project_id_original,title,title_en,project_url,keyword,keyword_en,source,researcher,researcher_en,institutation,country,currency,award_amount,award_amount_usd,funded_date,start_date,end_date,project_term,start_year,end_year,description,description_raw,description_en,created_date,updated_date
INT/RUS/RFBR/349,,Numerical modeling and development of new methods for hybrid metal forming of complex parts of ultra-high strength (UHS) materials,Numerical modeling and development of new methods for hybrid metal forming of complex parts of ultra-high strength (UHS) materials,,,,,"Puneet Tandon
Pesin Alexandr",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/350,,Heat transfer intensification in novel design micro-pin-fin heat sink for microprocessor cooling with improved temperature uniformity,Heat transfer intensification in novel design micro-pin-fin heat sink for microprocessor cooling with improved temperature uniformity,,,,,"Ritunesh Kumar
Abiev Rufat",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/351,,Thermo-hydrodynamics of Micro-Droplets Interacting with Engineered Surfaces,Thermo-hydrodynamics of Micro-Droplets Interacting with Engineered Surfaces,,,,,"Krishnamurthy Muralidhar
Kabov Oleg",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/352,,Autonomous calibration of robot cameras using on-body markers,Autonomous calibration of robot cameras using on-body markers,,,,,"Subir Kumar Saha
Magid Evgeni",,,,,,,,,,,,,,,,,
,,Low-Altitude UAV Communication and Tracking (LUCAT),Low-Altitude UAV Communication and Tracking (LUCAT),,,,,"Bharadwaj Amrutur
Linga Reddy Cenkermaddi",,"Cyber- Physical Systems Indian Institute of Science
Department of ICT Faculty of Engineering and Science University of Agder Jon Lilletunsvei",,,,,,,,,,,,,,,
,,Cyber-Physical Security in Energy Infrastructure of Smart Cities (CPSEC),Cyber-Physical Security in Energy Infrastructure of Smart Cities (CPSEC),,,,,"Prof. Dr. Om Prakash Vyas
Sokratis Katsikas",,"Department of Information Technology, Indian Institute of Information Technology Allahbad (IIITA)
Norwegian University of Science and Technology (NTNU)
",,,,,,,,,,,,,,,
,,Mathematical Aspects of Information Transmission: Effective Error Correcting Codes,Mathematical Aspects of Information Transmission: Effective Error Correcting Codes,,,,,"Prof. Sudhir R. Ghorpade
Prof. Trygve Johnsen",,"Department of Mathematics Indian Institute of Technology Bombay
Department UiT-The Arctic University of Norway",,,,,,,,,,,,,,,
,,Nanoparticle-2D hybrid structures for smart environmental sensing (2DSense),Nanoparticle-2D hybrid structures for smart environmental sensing (2DSense),,,,,"Dr. Bodh Raj Mehta
Dr. Branson Belle",,"Indian Institute of Technology Delhi
SINTEF Digital",,,,,,,,,,,,,,,
,,Resilient and Optimal Micro-Energy-grid (ROME),Resilient and Optimal Micro-Energy-grid (ROME),,,,,"Seshadhri Srinivasan
Dr. Geir Mathisen",,"Dept. of ECE and Center for Research in Automation and Control Engineering
SINTEF Digital, Dept. of Mathematics and Cybernetics",,,,,,,,,,,,,,,
,,Phase Retrieval for Advanced Imaging Application (PRAIMA),Phase Retrieval for Advanced Imaging Application (PRAIMA),,,,,"Prof. Chandra Sekhar Seelamantula
Dr. Bettina Heise",,"Department of Electrical Engineering, Indian Institute of Science
Department of Knowledge- Based Mathematical Systems; Johannes Kepler University",,,,,,,,,,,,,,,
,,Study of Phase Stability and thermal Transport in 2D Sulfide Materials Under Strain,Study of Phase Stability and thermal Transport in 2D Sulfide Materials Under Strain,,,,,"Dr. Chandan Bera
Dr. Jesus Carrete Montana",,"Institute of Nano Science and Technology Habitat Centre
 Institute of Materials Chemistry",,,,,,,,,,,,,,,
,,Ultrafast Electron Transfer Dynamics and Anti- Proliferative Activity of Hybrid Transition Metal Nitrosy1 Complexes,Ultrafast Electron Transfer Dynamics and Anti- Proliferative Activity of Hybrid Transition Metal Nitrosy1 Complexes,,,,,"Dr. Karunakaran Venugopal
Dr. Vladimir B. Arion",,"Chemical Sciences and Technology Division CSIR-National Institute for Interdisciplinary Sciences and technology
Institute of Inorganic Chemistry, University of Vienna",,,,,,,,,,,,,,,
,,Development and assessment of asphalt mastic from typical Indian and Austrian filler materials with a new test method,Development and assessment of asphalt mastic from typical Indian and Austrian filler materials with a new test method,,,,,"Dr. Nikhil Saboo
Dr Bernhard Hofko",,"Department of Civil Engineering, Indian Institute of Technology
Institute of Transportation, Vienna University of Technology",,,,,,,,,,,,,,,
,,Morphologic evolution of small-scale solar flux tubes and its implication for MHD waves,Morphologic evolution of small-scale solar flux tubes and its implication for MHD waves,,,,,"Prof. Depankar Banerjee
Dr. Dominik Utz",,"Indian Institute of Astrophysics
Institute of Physics/Geophysics",,,,,,,,,,,,,,,
,,Skutterudite based thermoelectric nanocomposite materials for high temperature applications,Skutterudite based thermoelectric nanocomposite materials for high temperature applications,,,,,"Dr. Ramesh Chandra Mallik
Dr. Ernst Bauer",,"Department of Physics, Indian Institute of Science
nstitute of Solid State Physics Technische Univrsitat",,,,,,,,,,,,,,,
,,Defining next generation searches for Beyond the Standard Model Physics,Defining next generation searches for Beyond the Standard Model Physics,,,,,"Rohini M, Godbole
Dr. Suchita Kulkarni",,"Centre for High Energy Physics, Indian Institute of Science
Institute fur Hochenergiephysik Nikolsdorfergasse ",,,,,,,,,,,,,,,
,,Single molecule biophysics using a small amplitude atomic force Microscopy,Single molecule biophysics using a small amplitude atomic force Microscopy,,,,,"Shivprasad Patil
Yoo Jin Oh",,"Associate Professor, Indian Institute of Science Education & Research
Institute of Diophysics, Johannes Kepler Univesityt Linz",,,,,,,,,,,,,,,
,,"Mathieu moonshine and N=2 Heterotic-Type II staring
duality","Mathieu moonshine and N=2 Heterotic-Type II staring
duality",,,,,"Dr. Justin David
Dr. Timm Wrase",,"Associate Professor, Center for High Energy Physics, Indian Institute of Science 
University Assistant, Institute for Theoretical Physics, Vienna University of Technology",,,,,,,,,,,,,,,
,,Combined computational and experimental approaches for recombinant production of pectate lyase major allergens,Combined computational and experimental approaches for recombinant production of pectate lyase major allergens,,,,,"Dr. N. Latha, Associate
Dr Michael Hauser",,"Department of Biochemistry Sri Venkateswara College
University of Salzburg, Dept. of Molecular Biology University of Salzburg",,,,,,,,,,,,,,,
,,Mapping Quantum Circuits to Dedicated Architecures Subject to Technological Constraints,Mapping Quantum Circuits to Dedicated Architecures Subject to Technological Constraints,,,,,"Dr. Indranil Sengupta
Dr. Robert Wille",,"Dept. of Computer Science and Engineering Indian Institute of Technology Kharagpur
Institute for Integrated Circuits Johannes Kepler University Linz",,,,,,,,,,,,,,,
,,Energy Aware Scientific Workflow Compiler for Future Heterogeneous Systems,Energy Aware Scientific Workflow Compiler for Future Heterogeneous Systems,,,,,"Dr. Shajulin Benedict
Prof. Radu Prodan",,"Indian Institute of Information Technology Kottayam
Institute of Information Technology University of Klagenfurt",,,,,,,,,,,,,,,
,,Investigation of Water Soluble Manganese Corrole Complexes as Bifunctional Catalysts to Device an Artificial Photosynthetic System,Investigation of Water Soluble Manganese Corrole Complexes as Bifunctional Catalysts to Device an Artificial Photosynthetic System,,,,,"Dr. Abhishek Dey
Dr. DI. Dr. Wolfgang Schofberger",,"Associate Professor, 2A & 2B Raja S. C. Mullick Road, Kolkata- 700032, India
Institute of Organic Chemistry, Johannes Kapler University Linz,",,,,,,,,,,,,,,,
,,Probing of Hot Jupiters Environmental and Physical Conditions: Numerical Modeling Vs. Observations,Probing of Hot Jupiters Environmental and Physical Conditions: Numerical Modeling Vs. Observations,,,,,"Dr. Yogesh Chandra Joshi
Dr. Navin Kumar Dwivedi",,"Manora Peak, Nainital Uttarakhand- 263002, India
 Space Research Institute, OeAW Sechmiedlstrasse 6, A-8042, Graz, Austria",,,,,,,,,,,,,,,
,,Solvent-Triggered Changing Bio-Polymer Films: Experimental and Numerical Design,Solvent-Triggered Changing Bio-Polymer Films: Experimental and Numerical Design,,,,,"Pijush Ghosh
Manfred U1z",,"MSB 224A IIT Madras Chennai-600036, TN
 Institute of Strength of Materials Graz University of Technology Kopenikusgasse",,,,,,,,,,,,,,,
,,"Metamaterials for phase control of THz resonant-
tunneling-diode oscillators","Metamaterials for phase control of THz resonant-
tunneling-diode oscillators",,,,,"Dr. Dibakar Roy Chowdhury
Michael Feiginov",,"Mahindra Ecole Centrale, Bahadurpally
University Professor, TU Wien, Gusshausstrasse 25/354, 1040 Vienna, Austria",,,,,,,,,,,,,,,
,,Understanding the role of the CTG clade specific histone H3 Variant in the Pathobiology of candida albicans,Understanding the role of the CTG clade specific histone H3 Variant in the Pathobiology of candida albicans,,,,,"Dr. Kasutuv Sanyal
Dr. Karl Kuchler",,"Molecular Mycology Laboratory Molecular Biology & Genetics Unit Jawahalal Nehru Centre for Advanced Scientific Research Jakur Post
Medical University Vienna-Max F. Perutz Laboratories",,,,,,,,,,,,,,,
,,Defect engineering of 2D transition metal carbide- graphene heterostructures for high performance hybrid electronic devices,Defect engineering of 2D transition metal carbide- graphene heterostructures for high performance hybrid electronic devices,,,,,"Dr. Chandra Sekhar Rout
Dr. Jani Kotakoski",,"Centre for Nano and Material Sciences, Jain University
Physics of Nanostructured Materials Faculty of Physics",,,,,,,,,,,,,,,
,,Optimized Thermal Utilization of Municipal Solid Waste-derived Fuel in India,Optimized Thermal Utilization of Municipal Solid Waste-derived Fuel in India,,,,,"Dr. Anurag Garg
Therese Schwarzbock",,"Centre for Environmental Science and Engineering
Institute for Water Quality, Resource and Waste Management",,,,,,,,,,,,,,,
,,Morphological taxonomy and DNA barcoding of Gyrodactylus spp. (Platyhelminthes: Monogeneans) in economically important freshwater fishes of India,Morphological taxonomy and DNA barcoding of Gyrodactylus spp. (Platyhelminthes: Monogeneans) in economically important freshwater fishes of India,,,,,"Dr. Amit Tripathi
Dr. Christoph Hahn",,"Department of Zoology University of Lucknow
Institute of Zoology University of Graz Univesitaetsplatz",,,,,,,,,,,,,,,
,,Controlled drug delivery to prevent bacterial adhesion and enhance osteoconduction of Ti alloys used in spinal application by tailoring the surface with nanopores,Controlled drug delivery to prevent bacterial adhesion and enhance osteoconduction of Ti alloys used in spinal application by tailoring the surface with nanopores,,,,,"Dr. Geetha Manivasagam
Dr. Juergen M. Lackner",,"Centre for Biomaterials, Cellular and Molecular Theranostics (CBCMT), School of Mechanical Engineering (SMEC)
Materials- Institute of Surface Technologies & Photonics",,,,,,,,,,,,,,,
,,Implementation of plants and treated natural fibers to enhance the strength properties of soft soil and to decrease the rate of surface erosion (Nat-Treat),Implementation of plants and treated natural fibers to enhance the strength properties of soft soil and to decrease the rate of surface erosion (Nat-Treat),,,,,"Dr. Anasua GuhaRay
Prof. Dr. Wei Wu",,"Department of Civil Engineering
Institute of Geotechnical Engineering Feistmante",,,,,,,,,,,,,,,
,,"Optimization of pulse cleaning parameters for
achieving high level performance of filter media during industrial pollution control","Optimization of pulse cleaning parameters for
achieving high level performance of filter media during industrial pollution control",,,,,"Dr. Arunangshu Mukhopadhyaya
Ao. Univ Prof. Dipl.-Ing Dr. Techn Gernot Krammer",,"Department of Textile Technology, National Institute of Technology 
Institute of Process and Particle Engineering, Institute of Process and Particle Engineering, Graz, University of Technology",,,,,,,,,,,,,,,
,,Atom-to-Circuit' modeling technique for exploration of Topological Insulator based ultra-low power electronics,Atom-to-Circuit' modeling technique for exploration of Topological Insulator based ultra-low power electronics,,,,,"Prof. Santanu Mahapatra
Privatdoz, Viktor Sverdlov",,"Department of Electronic systems Engineering (DESE) Indian Institute of Science 
Institute for Microelectronics",,,,,,,,,,,,,,,
,,Development of a computer- assisted diagnosis system for segmenting and detecting abnormalities and disease diagnosis,Development of a computer- assisted diagnosis system for segmenting and detecting abnormalities and disease diagnosis,,,,,"Debotosh Bhattacharjee
Christian Kollmann",,"Computer Science Department, Jadavpur University
Center for Medical Physics and Biomedical Engineering, Medican University Vienna",,,,,,,,,,,,,,,
,,Development of Methodologies for Self- Aware Network-on-Clip Design,Development of Methodologies for Self- Aware Network-on-Clip Design,,,,,"Soumya J
Jantsch Axel",,"Department of Electrical and Electronics Engineering
Institute of Computer Technology GuBhausstr",,,,,,,,,,,,,,,
,," 
Magnitude and Pathways of Anthropogenic Platinum Group Elements: Emerging Environmental Contaminant in India:"," 
Magnitude and Pathways of Anthropogenic Platinum Group Elements: Emerging Environmental Contaminant in India:",,,,,"Indra S. Sen
Ao.Prof. Dr. Alexander Meisel",,"Department of Earth Sciences IIT Kanpur
General and Analytical Chemistry Montanuniversitat Leoben",,,,,,,,,,,,,,,
,,NATURAL FIBRE REINFORCED CEMENTITIOUS COMPOSITE FOR SUSTAINABLE INFRASTRUCTURE,NATURAL FIBRE REINFORCED CEMENTITIOUS COMPOSITE FOR SUSTAINABLE INFRASTRUCTURE,,,,,"Dr. Umesh Kumar Sharma
Dr. Ildiko Merta",,"Department of Civil Engineering, IIT Roorkee
Technical University Vienna, Institute of Building Construction and Technology",,,,,,,,,,,,,,,
,,Technological Innovations In Regenerative Medicine With New Functional Biomaterials Combating Increased Bacterial Resistance In Emerging Bone And Joint Infections,Technological Innovations In Regenerative Medicine With New Functional Biomaterials Combating Increased Bacterial Resistance In Emerging Bone And Joint Infections,,,,,"Ashok Kumar
Lars Lidgren",,"Indian Institute of Technology Kanpur
Lund University",,,,,,,,,,,,,,,
,,Use of Nanoparticles as Protein Aggregation Modulators for Health Care and Pharmaceutical Applications,Use of Nanoparticles as Protein Aggregation Modulators for Health Care and Pharmaceutical Applications,,,,,"Subramanian Venkatesan
Hans Agren",,"Central Leather Research Institute
Royal Institute of Technology/Stockholm",,,,,,,,,,,,,,,
,,Role of allosteric mutations in HIV-1 protease drug resistance: Useful insights for rational drug design,Role of allosteric mutations in HIV-1 protease drug resistance: Useful insights for rational drug design,,,,,"Sanjib Senapati
Jens Carlsson",,"Department of Biotechnology
Indian Institute of Technology
Department of Medicinal Chemistry, BMC, Uppsala University",,,,,,,,,,,,,,,
,,Mycobacterial Cell Morphology and Antibiotic Resistance - an Indo Swedish Initiative,Mycobacterial Cell Morphology and Antibiotic Resistance - an Indo Swedish Initiative,,,,,"Dipankar Chatterji
Leif A Kirsebom",,"Indian Institute of Science
Dept of Cell and Molecular Biology",,,,,,,,,,,,,,,
,,Mining of medical image data with uncertainty for cardiovascular and pulmonary diseases,Mining of medical image data with uncertainty for cardiovascular and pulmonary diseases,,,,,"Anjaneya Murthy Chivukula
Orjan Smedby",,"Indian Statistical Institute
Royal Institute of Technology/School of Technology and Health",,,,,,,,,,,,,,,
,,How do neuronal variability and noise affect network computations,How do neuronal variability and noise affect network computations,,,,,"Upinder Bhalla
Arvind Kumar",,"National Centre for Biological Sciences
Royal Institute of Technology",,,,,,,,,,,,,,,
,,Antimicrobial Peptides Against Crops Disease,Antimicrobial Peptides Against Crops Disease,,,,,"Anirban Bhunia
Martin Malmsten",,"Bose Institute
Uppsala University",,,,,,,,,,,,,,,
,,"Mother, father, child & diabetes risk -interplay between genes & environment in India & Sweden. A transethnic study of parent-of-origin effects in fetal programming of diabesity using –omics approaches","Mother, father, child & diabetes risk -interplay between genes & environment in India & Sweden. A transethnic study of parent-of-origin effects in fetal programming of diabesity using –omics approaches",,,,,"Chittaranjan Yajnik
Rashmi Prasad",,"Diabetes Unit
Diabetes and Endocrinology, Department of Clinical Sciences, Faculty of Medicine, Lund University",,,,,,,,,,,,,,,
,,Understanding the association between the prevalence of antibiotic resistance and CRISPR repeats in UPEC E. coli causing UTI,Understanding the association between the prevalence of antibiotic resistance and CRISPR repeats in UPEC E. coli causing UTI,,,,,"Manisha Yadav
Diarmaid Hughes",,"Biomedical Research (ACBR), University of Delhi
Department of Medical Biochemistry and Microbiology",,,,,,,,,,,,,,,
,,Deep Learning for Bioinformatics/Life Sciences,Deep Learning for Bioinformatics/Life Sciences,,,,,"Michael M Gromiha
Arne Elofsson",,"Indian Institute of Technology
Science for Life Laboratory, Stockholm University",,,,,,,,,,,,,,,
,,In Silico Studies of Magnetic and Vibrational Properties of Porphyrins for Diagnostic Applications,In Silico Studies of Magnetic and Vibrational Properties of Porphyrins for Diagnostic Applications,,,,,"Md Ehesan Ali
Peter Oppeneer",,"Institute of Nano Science and Technology-Mohali
Uppsala University",,,,,,,,,,,,,,,
,,"Landscape of genomic alterations in Human Papilloma Virus Infection associated cancers– a genomics, bioinformatics and computational approach","Landscape of genomic alterations in Human Papilloma Virus Infection associated cancers– a genomics, bioinformatics and computational approach",,,,,"Showket Hussain
Neha Singh",,"Institute of Cytology & Preventive Oncology, Indian Council Of Medical Research
University of Skovde",,,,,,,,,,,,,,,
,,Electrospun Nanofibers with Embedded Yolk- Shell Particles for Catalytic Applications,Electrospun Nanofibers with Embedded Yolk- Shell Particles for Catalytic Applications,,,,,"Dr. Bhanu Nandan
Dr. Andriy Horechyy
Prof. Andreas Fery",,"Department of Textile Technology, Indian Institute of Technology
Research Scientist and Group Leader
Head of the Institute of Physical Chemistry and Polymer Physics",,,,,,,,,,,,,,,
,,Rational development of regioselective difunctionalization of arenes using carbonxylates as deciduous directing groups,Rational development of regioselective difunctionalization of arenes using carbonxylates as deciduous directing groups,,,,,"Dr. Debases Koley
Proff. Lukas",,"Department of chemical science, Indian institute of education and researches
Chemie-organiche chemie D-67663(Germany)",,,,,,,,,,,,,,,
,,"Chemo-enzymatic synthesis of multivalent dendritic architectures for the
control of neurodegenerative disorders","Chemo-enzymatic synthesis of multivalent dendritic architectures for the
control of neurodegenerative disorders",,,,,"Dr. Sunil K. Sharma
Dr. Rainer Haag",,"Department of Chemistry University of Delhi
Institute of Chemistry & Biochemistry Freie University Berlin",,,,,,,,,,,,,,,
,,Magnetic and dielectric studies on the room temperature magnet SrRu2O6 and its doped variants,Magnetic and dielectric studies on the room temperature magnet SrRu2O6 and its doped variants,,,,,"Dr. Sunil Nair
Dr. Rüdiger Klingeler",,"Indian Institute of Science Education & Research
Kirchhoff Institute of Physics Heidelberg University",,,,,,,,,,,,,,,
,,Metal Nanoclusters in Nanoscience Applications,Metal Nanoclusters in Nanoscience Applications,,,,,"Prof. Sandeep Verma
Dr. Marx Andreas",,"Department of Chemistry, IIT Kanpur, India
Department of Organic Chemistry University of Konstanz Germany",,,,,,,,,,,,,,,
,,Stimuli responsive micro gels with covalent and dynamic lonic crosslink: chemical design and behavior in aqueous solution.,Stimuli responsive micro gels with covalent and dynamic lonic crosslink: chemical design and behavior in aqueous solution.,,,,,"Dr.Nikhil K. Singha
Dr.Andrij Pich",,"Rubber technology center
Aachen, Germany",,,,,,,,,,,,,,,
,,"Atmospheric heating in low-mass solar-like stars: A Multi-wavelength study of
stellar atmospheres using ASTROSAT and TIGRE","Atmospheric heating in low-mass solar-like stars: A Multi-wavelength study of
stellar atmospheres using ASTROSAT and TIGRE",,,,,"Dr. Lalitha Sairam
Prof. J ̈urgen Schmitt",,"Indian Institute of Astrophysics
Hamurger Sternwarte Koramangala",,,,,,,,,,,,,,,
,,Optimised energy harvest and storage using discrete electrolytes,Optimised energy harvest and storage using discrete electrolytes,,,,,"Prof. Balasubramanian Sundaram
Prof. dr. René van Roij",,,,,,,,,,,,,,,,,
,,Design and Synthesis of Novel Catalysts for Energy Applications via Nanoparticle Self- Assembly,Design and Synthesis of Novel Catalysts for Energy Applications via Nanoparticle Self- Assembly,,,,,"Prof. SudeepPunnathanam
Dr. Laura Filion",,,,,,,,,,,,,,,,,
,,Dispersed multiphase flows in sustainable energy conversion processes,Dispersed multiphase flows in sustainable energy conversion processes,,,,,"Prof. Meheboob Alam
Prof. Dr. Detlef Lohse",,,,,,,,,,,,,,,,,
,,Design of novel nanophotonic and plasmonic structures for improved solar cells using reverse-engineering,Design of novel nanophotonic and plasmonic structures for improved solar cells using reverse-engineering,,,,,"Prof. Srikanth Sastry
Prof. dr. ir.Marjolein",,,,,,,,,,,,,,,,,
,,Principal Component Analysis (PCA) based model extraction and Model Order Reduction (MOR) for large scale interconnected network of energy sources,Principal Component Analysis (PCA) based model extraction and Model Order Reduction (MOR) for large scale interconnected network of energy sources,,,,,"Prof. Madhu N. Belur
M. KanatCamlibel",,,,,,,,,,,,,,,,,
,,Analysis and design of energy systems 2.0: the Lagrangian way,Analysis and design of energy systems 2.0: the Lagrangian way,,,,,"Prof. B.V. Rathish Kumar
Dr.ir. M.F.M. (Michel) Speetjens",,,,,,,,,,,,,,,,,
DST/INT/RM ES/P-07/2016,,Development of friction Stir welding technique for joining dissimilar light alloys,Development of friction Stir welding technique for joining dissimilar light alloys,,,,,"Dr. Satish Vasu Kailas
Prof. RustamKaibyshev",,"Indian Institute of Science
Belgorod National Research University",,,,,,,,,,,,,,,
DST/INT/RM ES/P-08/2016,,Technologies and Toolset for Reliable Control of Production Areas of Internet Of Things,Technologies and Toolset for Reliable Control of Production Areas of Internet Of Things,,,,,"Dr. ShyamasundarRudrapatna Kallikote
Dr. VsevolodKotlyarov",,"IIT Bombay
Peter the Great Saint- Petersburg Polytechnic University",,,,,,,,,,,,,,,
DST/INT/RM ES/P-09/2016,,"Development of new functional materials and green processing routes for efficient and
stable organic photovoltaic devices","Development of new functional materials and green processing routes for efficient and
stable organic photovoltaic devices",,,,,"Dr. Subrata Sinha Visva-Bharati
Prof.S.A. Ponomarenko Enikolopov",,"Santiniketan
Institute of Synthetic Polymeric Materials of Russian Academy of Sciences",,,,,,,,,,,,,,,
DST/INT/RM ES/P-10/2016,,Bioremediation and Bioconversion of Waste with Complex Photosynthetic Organisms and Heterotrophs under Aerobic and Anaerobic Conditions with Generation of Bioenergy,Bioremediation and Bioconversion of Waste with Complex Photosynthetic Organisms and Heterotrophs under Aerobic and Anaerobic Conditions with Generation of Bioenergy,,,,,"Dr. LepakshiBarbora
Prof. Sci. DevardStom",,"IIT Guwahati
Laboratory of the Aquatic Toxicology Irkutsk State University",,,,,,,,,,,,,,,
DST/INT/RM ES/P-11/2016,,Elaboration of Manufacturing Technique of Flexible Semitransparent Solar Cells for Integrated Photovoltaics (BIPV) Based on Coarse- crystalline MonograinCdS/CZTS Powders,Elaboration of Manufacturing Technique of Flexible Semitransparent Solar Cells for Integrated Photovoltaics (BIPV) Based on Coarse- crystalline MonograinCdS/CZTS Powders,,,,,"Prof. K. T. Ramakrishna Reddy
Prof. Gennady NovikovFedorovich",,"Sri Venkateswara University
Moscow State University",,,,,,,,,,,,,,,
DST/INT/RM ES/P-12/2016,,Efficiency increase of III- V multijunction solar cells and modules with sunlight concentrators for photovoltaic installations,Efficiency increase of III- V multijunction solar cells and modules with sunlight concentrators for photovoltaic installations,,,,,"Dr. Nand Kishor
Prof. Viacheslav Andreev",,"National Institute of Technology Allahabad
Ioffe Physical- Technical Institute",,,,,,,,,,,,,,,
,,Soft-Lithography of pi- conjugated nanostructures via kinetically controlled supramolecular polymerization,Soft-Lithography of pi- conjugated nanostructures via kinetically controlled supramolecular polymerization,,,,,"Subi J. George
pol Besenius",,"supramolecular chemistry lab, new chemistry unit, jawaharlal nehru centre for advaced scientific research
Institute of organic chemistry johannes gutenberg- university mainz",,,,,,,,,,,,,,,
,,"Understanding the lone pair influence on the local structure and The local structure and thermoelectric properties of I-V-V2(1=Cu/Ag/TI, V= sb/Bi. VI= S/Se/Te) compounds","Understanding the lone pair influence on the local structure and The local structure and thermoelectric properties of I-V-V2(1=Cu/Ag/TI, V= sb/Bi. VI= S/Se/Te) compounds",,,,,"Dr. Kanishka Biswas
Dr. Wolfgang Zeier",,"New chemistry unit, jawaharlal Nehru centre for advaced scientific research
Institute of Physical chemistry, justus-liebig-university giessen",,,,,,,,,,,,,,,
,,Spectroscopy of planetary analogues form hot planetary surfaces to icy moons,Spectroscopy of planetary analogues form hot planetary surfaces to icy moons,,,,,"Dr Bhalamurugan Sivaraman
Dr. Joern Helbert",,"Atomic molecular and optical physics division, Physical research laboratory
institute for planetary Research (PF-Xp) German Aerospace Center (DLR)",,,,,,,,,,,,,,,
,,Riverbank filtration through challenging geological formations for rural water supply in south India,Riverbank filtration through challenging geological formations for rural water supply in south India,,,,,"Prof. Elango Lakshmanan
Prof. Dr.-Ing. Thomas Grischek",,"Dept. of Geology, Anna University
University of Applied Sciences Dresden (HTW Dresden)",,,,,,,,,,,,,,,
,,"Genetic Modification of Lactobacillus brevis for enhanced 1,3 Propanediol production","Genetic Modification of Lactobacillus brevis for enhanced 1,3 Propanediol production",,,,,"Binod Parameswaran
Volker F. Wendisch",,"National insitute for interdisciplinary science and technologhy industrial
Bielefeld University",,,,,,,,,,,,,,,
,,chimera in multiplex networks,chimera in multiplex networks,,,,,"Dr. Sarika Jalan
Dr. Anna zakharova",,"Indian institute of technology
Technische universitat berlin institute fur theoretiche physik",,,,,,,,,,,,,,,
,,Title of the project: Alternative oxidase as a tool to increase nitrogen use efficiency and growth under nitrogen limitation,Title of the project: Alternative oxidase as a tool to increase nitrogen use efficiency and growth under nitrogen limitation,,,,,"Dr. Jagadis Gupta Kapuganti
Dr. Alisdair R. Ferine",,"National Institute of Plant Genome Research
Max-Planck- Institut fur Molekulare Pflanzenphysoilogie Wissenschaftspark",,,,,,,,,,,,,,,
,,Signatures of recent interaction in the Magellanic Clouds through panchromatic study,Signatures of recent interaction in the Magellanic Clouds through panchromatic study,,,,,"Annapurni Subramaniam
Maria-Rosa Cioni",,"Indian Institute of Astrophysic
Leibniz- Institute for Astrophysics Potsdam ",,,,,,,,,,,,,,,
,,Hybrid 3D architecture for smart and flexible supercapattery,Hybrid 3D architecture for smart and flexible supercapattery,,,,,"Dr. Ananthakumar Ramadoss
Prof. Dr. Lukas Schmidt-Mende",,"Laboratory for advanced research in polymeric materials central institute of plastic engineering and technology
University of konstanz",,,,,,,,,,,,,,,
,,"Design, synthesis and biological evaluation of GSK-3B inhibitors","Design, synthesis and biological evaluation of GSK-3B inhibitors",,,,,"Dr. Ruchi Malik
Dr. Roland Brandt",,"Department of Pharmacy, Central University of rajasthan
Department of neurobiology, university of Osnabrueck",,,,,,,,,,,,,,,
,,Root hydraulics: towards answering the global questions on root functionality and possible use in crop improvement programs,Root hydraulics: towards answering the global questions on root functionality and possible use in crop improvement programs,,,,,"Jana Kholva
Dr. Mutez Ahmed",,"Crops physiology
Division of soil Hydrology, University of Gottingen",,,,,,,,,,,,,,,
,,Exploring the structural and functional determinats of neuronal calcium sensors,Exploring the structural and functional determinats of neuronal calcium sensors,,,,,"Yogendra Sharma
Prof. Dr. karl-w,. Koch",,"CSIR- Centre for cellular and molecular biology
dept. of neuroscience, faculty VI university of oldenburg",,,,,,,,,,,,,,,
,,Development of hollow core photonic crystal fiber for efficient transmission at 3 micron wavelength for clinical studies,Development of hollow core photonic crystal fiber for efficient transmission at 3 micron wavelength for clinical studies,,,,,"Dr. Debashri Ghosh
Dr. R.J. Dwayne miller",,"CSIR-Central glass & ceramic research institute
Max planck institute for the structure and dynamics of matter",,,,,,,,,,,,,,,
,,Toxicity and personal exposure assessment of fine particulate matter and VOCs at air pollution hotsport under changing climatic conditions,Toxicity and personal exposure assessment of fine particulate matter and VOCs at air pollution hotsport under changing climatic conditions,,,,,"Dr. S. M. Shiva Nagendra
Dr. Andrea muller",,"Department of civil engineering, indian institute of teechnology madras
dep. Molecular systems biology",,,,,,,,,,,,,,,
,,Investigating mechanism of action of membrane targeting antibacterial agents,Investigating mechanism of action of membrane targeting antibacterial agents,,,,,"Dr. Jayanta Haldar
Dr. Julia Elisabeth bandow",,"New chemistry unit jawaharlal nehru certre for advaced scientific research
universitat bochum universitatsstr",,,,,,,,,,,,,,,
,,Developing gradient exchange correlation kernel in time-dependent density functional theory (TDDFT) and its application to spinel vanadates,Developing gradient exchange correlation kernel in time-dependent density functional theory (TDDFT) and its application to spinel vanadates,,,,,"Dr. Tulika Maitra
Dr. Sangeeta sharma",,"Department of physics, IIT , Roorkee
Max-planck institute of microstructure physics",,,,,,,,,,,,,,,
